,mOTU
COMPLETE-SET-AND-BULK_mOTU_680,6
COMPLETE-SET-AND-BULK_mOTU_492,6
COMPLETE-SET-AND-BULK_mOTU_840,6
COMPLETE-SET-AND-BULK_mOTU_344,6
COMPLETE-SET-AND-BULK_mOTU_737,6
COMPLETE-SET-AND-BULK_mOTU_186,6
COMPLETE-SET-AND-BULK_mOTU_451,6
COMPLETE-SET-AND-BULK_mOTU_314,6
COMPLETE-SET-AND-BULK_mOTU_533,6
COMPLETE-SET-AND-BULK_mOTU_838,6
COMPLETE-SET-AND-BULK_mOTU_884,6
COMPLETE-SET-AND-BULK_mOTU_710,6
COMPLETE-SET-AND-BULK_mOTU_528,6
COMPLETE-SET-AND-BULK_mOTU_313,6
COMPLETE-SET-AND-BULK_mOTU_601,6
COMPLETE-SET-AND-BULK_mOTU_643,6
COMPLETE-SET-AND-BULK_mOTU_678,6
COMPLETE-SET-AND-BULK_mOTU_822,6
COMPLETE-SET-AND-BULK_mOTU_281,6
COMPLETE-SET-AND-BULK_mOTU_370,6
COMPLETE-SET-AND-BULK_mOTU_302,6
COMPLETE-SET-AND-BULK_mOTU_906,6
COMPLETE-SET-AND-BULK_mOTU_713,6
COMPLETE-SET-AND-BULK_mOTU_337,6
COMPLETE-SET-AND-BULK_mOTU_441,6
COMPLETE-SET-AND-BULK_mOTU_527,6
COMPLETE-SET-AND-BULK_mOTU_433,6
COMPLETE-SET-AND-BULK_mOTU_294,6
COMPLETE-SET-AND-BULK_mOTU_200,6
COMPLETE-SET-AND-BULK_mOTU_563,6
COMPLETE-SET-AND-BULK_mOTU_332,6
COMPLETE-SET-AND-BULK_mOTU_641,6
COMPLETE-SET-AND-BULK_mOTU_153,6
COMPLETE-SET-AND-BULK_mOTU_599,6
COMPLETE-SET-AND-BULK_mOTU_887,6
COMPLETE-SET-AND-BULK_mOTU_450,6
COMPLETE-SET-AND-BULK_mOTU_173,6
COMPLETE-SET-AND-BULK_mOTU_696,6
COMPLETE-SET-AND-BULK_mOTU_657,6
COMPLETE-SET-AND-BULK_mOTU_246,5
COMPLETE-SET-AND-BULK_mOTU_176,5
COMPLETE-SET-AND-BULK_mOTU_745,5
COMPLETE-SET-AND-BULK_mOTU_181,5
COMPLETE-SET-AND-BULK_mOTU_070,5
COMPLETE-SET-AND-BULK_mOTU_618,5
COMPLETE-SET-AND-BULK_mOTU_138,5
COMPLETE-SET-AND-BULK_mOTU_409,5
COMPLETE-SET-AND-BULK_mOTU_558,5
COMPLETE-SET-AND-BULK_mOTU_619,5
COMPLETE-SET-AND-BULK_mOTU_319,5
COMPLETE-SET-AND-BULK_mOTU_113,5
COMPLETE-SET-AND-BULK_mOTU_131,5
